Year,Month,Day,Hour,Minute,Second,Millisecond,Instance,DomainInstance,Engine Coolant Temperature (degC), Engine Total Hours Of Operation(hours), Engine Speed(RPM), Engine Oil Pressure(kPa),Battery Power Input(V), Generator Average LineToLine AC RMS Voltage(V), Generator Average AC Frequency(Hz),timeStamp
2018,02,09,01,13,52,979,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138832
2018,02,09,01,13,53,993,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.496128082275391000000,1518138833
2018,02,09,01,13,55,007,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,488.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138835
2018,02,09,01,13,56,020,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138836
2018,02,09,01,13,57,034,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138837
2018,02,09,01,13,58,048,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138838
2018,02,09,01,13,59,062,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138839
2018,02,09,01,14,00,077,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,488.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138840
2018,02,09,01,14,01,091,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138841
2018,02,09,01,14,02,105,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.496128082275391000000,1518138842
2018,02,09,01,14,03,119,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138843
2018,02,09,01,14,04,133,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138844
